landmark,comment
City Hall,"We absolutely loved our City Hall tour and visit up the tower. The views from the top are incredible, and the statue of William Penn is so detailed it’s amazing to think all that detail is wasted as you can’t see any of that from the bottom. We really enjoyed the history brief given by our tour guide, and thankfully there were only 6 of us on the tour, so it was very personal."
City Hall,One of the best tours I have been on! Our tour guide was knowledgeable and funny. The history is amazing. The view from the top was also beautiful. We also got to learn a lot about the history and architecture of the building. I highly recommend this tour.
City Hall,It's a short tour up to the top. It's worth it if you have some extra time in Philadelphia. The views from the top of City Hall are beautiful and well worth the time.
City Hall,This was an amazing historical experience! The tour guide was fantastic. The views from the top of City Hall were amazing. And it was great to hear the history about the building. Highly recommend this tour!
City Hall,"Really enjoyed the tour, especially the views from the tower. The elevator ride up is cramped, but it's quick, and the view from the top is worth the wait!"
City Hall,Excellent historical tour. Learn so much about the architecture and history of the building. It’s a must if you’re in the city.
City Hall,Great historical building with fascinating tours. Enjoy the views of the city and surrounding landmarks from the observation deck.
City Hall,"Great experience! Beautiful building, impressive history, and the view from the tower is fantastic. Highly recommend the tour!"
City Hall,"Great tour of Philadelphia’s city hall, including the history of the building and the restoration process. Fantastic views from the top!"
City Hall,"This place has a great view, especially if you love architecture and history."
Elfreth's Alley,"Elfreth’s Alley is a beautiful and historic street in Philadelphia. The street is lined with 18th-century homes and has a unique charm. The cobblestone street adds to the ambiance, and the atmosphere is calm and picturesque. It's a great place to stroll and learn about the history of the area. Highly recommend it if you’re in the area."
Elfreth's Alley,"This street has great character. It’s quiet and peaceful, and the historic homes are beautiful. I loved walking down the alley and imagining what life was like back in the 18th century. There’s also a small museum that gives you more context on the history of the area. Highly recommend it."
Elfreth's Alley,"This is a beautiful piece of history right in the heart of Philadelphia. The houses are charming and preserved, and it’s a peaceful escape from the busy city streets. I loved walking around here and learning about the history of the area. I would definitely recommend a visit if you're in the area."
Elfreth's Alley,"A beautiful, historic alley that is a hidden gem in Philadelphia. It’s an interesting spot to visit if you’re into history. The alley is lined with charming, old houses, and there’s a small museum on-site that offers more information on the history of the area. Definitely worth a visit."
Elfreth's Alley,"Very historic area, nice quiet street to walk down. The architecture is wonderful and the area is well maintained. I love the fact that you can see how the old houses are preserved. Worth a visit."
